LGA code,Local Government Area,2018,2019,Growth no.,Growth %,Natural increase no.,Net internal migration no.,Net overseas migration no.,Area (km2),Population density 2019 (persons/km2)
35790,Palm Island (S),2637,2671,34,1.3,37,-4,1,72.0,37.1
35800,Paroo (S),1586,1562,-24,-1.5,4,-29,1,47612.9,0.0
36070,Pormpuraaw (S),833,845,12,1.4,11,0,1,4395.4,0.2
36150,Quilpie (S),790,778,-12,-1.5,11,-23,0,67414.7,0.0
36250,Redland (C),156825,158815,1990,1.3,442,987,561,537.2,295.7
36300,Richmond (S),806,810,4,0.5,6,-3,1,26580.7,0.0
36370,Rockhampton (R),81051,81512,461,0.6,433,-225,253,6570.3,12.4
36510,Scenic Rim (R),42576,43123,547,1.3,86,353,108,4242.7,10.2
36580,Somerset (R),25881,26219,338,1.3,109,168,61,5373.4,4.9
36630,South Burnett (R),32549,32521,-28,-0.1,78,-149,43,8381.6,3.9
36660,Southern Downs (R),35593,35452,-141,-0.4,21,-246,84,7107.8,5.0
36720,Sunshine Coast (R),319837,328428,8591,2.7,907,6047,1637,2253.9,145.7
36820,Tablelands (R),25535,25575,40,0.2,-3,-40,83,11292.9,2.3
36910,Toowoomba (R),167611,169008,1397,0.8,849,-124,672,12957.2,13.0
36950,Torres (S),3847,3887,40,1.0,54,-22,8,883.7,4.4
36960,Torres Strait Island (R),4993,5104,111,2.2,65,43,3,490.0,10.4
37010,Townsville (C),194019,195032,1013,0.5,1371,-1140,782,3730.8,52.3
37300,Weipa (T),4239,4333,94,2.2,50,35,9,10.8,400.4
37310,Western Downs (R),34459,34585,126,0.4,227,-175,74,37936.6,0.9
37340,Whitsunday (R),35037,35357,320,0.9,122,-99,297,23818.9,1.5
37400,Winton (S),1157,1153,-4,-0.3,7,-13,2,53813.5,0.0
37550,Woorabinda (S),1005,1016,11,1.1,32,-22,1,390.6,2.6
37570,Wujal Wujal (S),306,312,6,2.0,0,6,0,11.8,26.3
37600,Yarrabah (S),2847,2901,54,1.9,38,14,2,158.8,18.3
40070,Adelaide (C),24807,25456,649,2.6,29,-219,839,15.6,1634.6
40120,Adelaide Hills (DC),39735,39977,242,0.6,167,-73,148,794.5,50.3
40150,Adelaide Plains (DC),9059,9137,78,0.9,39,33,6,932.5,9.8
40220,Alexandrina (DC),27039,27427,388,1.4,-45,367,66,1826.8,15.0
40250,Anangu Pitjantjatjara (AC),2558,2573,15,0.6,32,-21,4,102353.1,0.0
40310,Barossa (DC),24810,25021,211,0.9,34,111,66,893.5,28.0
40430,Barunga West (DC),2551,2563,12,0.5,-18,25,5,1590.4,1.6
40520,Berri and Barmera (DC),10854,10842,-12,-0.1,20,-66,34,476.2,22.8
40700,Burnside (C),45714,45816,102,0.2,-131,-192,425,27.5,1664.9
40910,Campbelltown (C) (SA),51473,52192,719,1.4,127,-99,691,24.3,2143.5
41010,Ceduna (DC),3466,3442,-24,-0.7,37,-67,6,5420.3,0.6
41060,Charles Sturt (C),117388,118943,1555,1.3,268,96,1191,54.8,2171.0
41140,Clare and Gilbert Valleys (DC),9379,9424,45,0.5,5,23,17,1892.4,5.0
41190,Cleve (DC),1799,1792,-7,-0.4,13,-22,2,5018.8,0.4
41330,Coober Pedy (DC),1845,1834,-11,-0.6,5,-21,5,77.7,23.6
41560,Copper Coast (DC),14873,15010,137,0.9,-70,192,15,772.9,19.4
41750,Elliston (DC),1019,1008,-11,-1.1,7,-20,2,6741.9,0.1
41830,Flinders Ranges (DC),1693,1692,-1,-0.1,1,-6,4,4070.5,0.4
41960,Franklin Harbour (DC),1315,1304,-11,-0.8,-13,1,1,2755.6,0.5
42030,Gawler (T),24019,24416,397,1.7,-12,352,57,41.1,593.5
42110,Goyder (DC),4206,4190,-16,-0.4,0,-21,5,6715.1,0.6
42250,Grant (DC),8511,8584,73,0.9,28,32,13,1898.0,4.5
42600,Holdfast Bay (C),37035,37435,400,1.1,-81,45,436,13.8,2722.1
42750,Kangaroo Island (DC),4933,4983,50,1.0,4,30,16,4400.9,1.1
43080,Karoonda East Murray (DC),1112,1107,-5,-0.4,-3,-9,7,4415.8,0.3
43220,Kimba (DC),1073,1065,-8,-0.7,4,-13,1,5697.1,0.2
43360,Kingston (DC) (SA),2374,2371,-3,-0.1,-10,4,3,3339.8,0.7
43650,Light (RegC),15340,15359,19,0.1,72,-77,24,1276.8,12.0
43710,Lower Eyre Peninsula (DC),5761,5780,19,0.3,39,-30,10,4721.3,1.2
43790,Loxton Waikerie (DC),11728,11743,15,0.1,28,-57,44,7763.9,1.5
44000,Maralinga Tjarutja (AC),64,64,0,0.0,0,0,0,102703.9,0.0
44060,Marion (C),92312,93448,1136,1.2,385,-433,1184,55.6,1679.5
44210,Mid Murray (DC),8984,9094,110,1.2,-14,99,25,6271.6,1.5
44340,Mitcham (C),67259,67474,215,0.3,79,-463,599,75.5,893.1
44550,Mount Barker (DC),35545,36571,1026,2.9,253,657,116,594.6,61.5
44620,Mount Gambier (C),27177,27275,98,0.4,78,-65,85,33.9,804.7
44830,Mount Remarkable (DC),2910,2909,-1,0.0,-13,10,2,3422.8,0.8
45040,Murray Bridge (RC),22166,22495,329,1.5,44,35,250,1831.8,12.3
45090,Naracoorte and Lucindale (DC),8533,8555,22,0.3,30,-85,77,4520.1,1.9
45120,Northern Areas (DC),4604,4619,15,0.3,6,6,3,2986.2,1.5
45290,Norwood Payneham St Peters (C),36757,37056,299,0.8,18,-300,581,15.1,2453.5
45340,Onkaparinga (C),171496,172938,1442,0.8,712,163,567,518.1,333.8
45400,Orroroo-Carrieton (DC),854,850,-4,-0.5,3,-8,1,3321.8,0.3
45540,Peterborough (DC),1700,1687,-13,-0.8,-3,-12,2,3020.1,0.6
45680,Playford (C),93426,94848,1422,1.5,910,69,443,345.2,274.8
45890,Port Adelaide Enfield (C),126125,127740,1615,1.3,690,-736,1661,91.8,1392.1
46090,Port Augusta (C),14102,13862,-240,-1.7,38,-308,30,1195.6,11.6
46300,Port Lincoln (C),14627,14718,91,0.6,85,-31,37,30.4,484.7
46450,Port Pirie City and Dists (M),17631,17634,3,0.0,28,-46,21,1760.7,10.0
46510,Prospect (C),21260,21520,260,1.2,132,-167,295,7.8,2762.0
46670,Renmark Paringa (DC),9870,9907,37,0.4,28,-55,64,915.9,10.8
46860,Robe (DC),1444,1450,6,0.4,-2,6,2,1091.7,1.3
46970,Roxby Downs (M),4014,3954,-60,-1.5,72,-159,27,110.5,35.8
47140,Salisbury (C),142558,143560,1002,0.7,878,-1247,1371,159.8,898.1
47290,Southern Mallee (DC),2094,2080,-14,-0.7,-4,-24,14,5702.2,0.4
47490,Streaky Bay (DC),2214,2192,-22,-1.0,1,-26,3,6222.9,0.4
47630,Tatiara (DC),6795,6816,21,0.3,10,-16,27,6527.2,1.0
47700,Tea Tree Gully (C),99697,100261,564,0.6,409,-389,544,95.2,1053.0
47800,The Coorong (DC),5463,5429,-34,-0.6,-16,-29,11,8833.4,0.6
47910,Tumby Bay (DC),2688,2702,14,0.5,-7,16,5,2669.1,1.0
47980,Unley (C),39150,39208,58,0.1,-67,-328,453,14.3,2747.5
48050,Victor Harbor (C),15249,15465,216,1.4,-115,303,28,384.6,40.2
48130,Wakefield (DC),6815,6838,23,0.3,9,-1,15,3468.5,2.0
48260,Walkerville (M),7946,8000,54,0.7,-15,-15,84,3.5,2266.3
48340,Wattle Range (DC),12032,12041,9,0.1,-4,-2,15,3926.3,3.1
48410,West Torrens (C),60109,60842,733,1.2,101,-566,1198,37.0,1642.6
48540,Whyalla (C),21767,21665,-102,-0.5,66,-213,45,1071.3,20.2
48640,Wudinna (DC),1294,1300,6,0.5,-5,9,2,5075.3,0.3
48750,Yankalilla (DC),5478,5572,94,1.7,-10,91,13,751.3,7.4
48830,Yorke Peninsula (DC),11329,11324,-5,0.0,-52,40,7,5899.6,1.9
49399,Unincorporated SA,3520,3514,-6,-0.2,21,-36,9,622489.5,0.0
50080,Albany (C),37820,38053,233,0.6,28,106,99,4310.9,8.8
50210,Armadale (C),87607,90797,3190,3.6,1169,1616,405,559.5,162.3
50250,Ashburton (S),13327,13305,-22,-0.2,85,-155,48,100818.2,0.1
50280,Augusta-Margaret River (S),15694,16172,478,3.0,133,251,94,2122.4,7.6
50350,Bassendean (T),15735,15823,88,0.6,93,-62,57,10.3,1529.5
50420,Bayswater (C),68197,68362,165,0.2,366,-800,599,34.6,1974.8
50490,Belmont (C),41484,42078,594,1.4,329,-189,454,39.8,1056.6
50560,Beverley (S),1748,1758,10,0.6,4,5,1,2370.5,0.7
50630,Boddington (S),1833,1801,-32,-1.7,8,-43,3,1904.5,0.9
50770,Boyup Brook (S),1756,1763,7,0.4,11,-6,2,2826.5,0.6
50840,Bridgetown-Greenbushes (S),4722,4740,18,0.4,-6,19,5,1337.4,3.5
50910,Brookton (S),965,952,-13,-1.3,-6,-9,2,1601.2,0.6
50980,Broome (S),16947,16907,-40,-0.2,209,-335,86,54401.8,0.3
51080,Broomehill-Tambellup (S),1132,1108,-24,-2.1,1,-28,3,2609.7,0.4
51120,Bruce Rock (S),939,940,1,0.1,10,-16,7,2724.7,0.3
51190,Bunbury (C),31767,31644,-123,-0.4,79,-363,161,65.4,483.7
51260,Busselton (C),38921,39623,702,1.8,127,482,93,1454.1,27.3
51310,Cambridge (T),28464,28867,403,1.4,53,127,223,22.0,1314.8
51330,Canning (C),92888,92888,0,0.0,607,-1995,1388,64.9,1431.7
51400,Capel (S),18020,18161,141,0.8,172,-80,49,557.9,32.6
51470,Carnamah (S),541,534,-7,-1.3,2,-10,1,2870.9,0.2
51540,Carnarvon (S),5361,5182,-179,-3.3,45,-251,27,46574.6,0.1
51610,Chapman Valley (S),1492,1513,21,1.4,9,10,2,3981.3,0.4
51680,Chittering (S),5742,5898,156,2.7,28,118,10,1219.9,4.8
51750,Claremont (T),10698,10712,14,0.1,-25,-13,52,5.0,2161.6
51820,Cockburn (C),112124,114320,2196,2.0,1069,499,628,167.9,680.9
51890,Collie (S),8754,8672,-82,-0.9,33,-125,10,1709.8,5.1
51960,Coolgardie (S),3505,3404,-101,-2.9,20,-136,15,30297.7,0.1
52030,Coorow (S),1004,980,-24,-2.4,2,-29,3,4189.9,0.2
52100,Corrigin (S),1146,1133,-13,-1.1,-3,-12,2,2681.3,0.4
52170,Cottesloe (T),8184,8251,67,0.8,24,6,37,3.9,2139.6
52240,Cranbrook (S),1077,1057,-20,-1.9,-2,-21,3,3276.0,0.3
52310,Cuballing (S),862,850,-12,-1.4,0,-13,1,1195.3,0.7
52380,Cue (S),148,143,-5,-3.4,1,-7,1,13582.2,0.0
52450,Cunderdin (S),1439,1422,-17,-1.2,6,-28,5,1862.4,0.8
52520,Dalwallinu (S),1431,1401,-30,-2.1,9,-45,6,7224.4,0.2
52590,Dandaragan (S),3258,3266,8,0.2,11,-30,27,6711.6,0.5
52660,Dardanup (S),14366,14449,83,0.6,82,-34,35,525.8,27.5
52730,Denmark (S),6154,6215,61,1.0,11,43,7,1859.8,3.3
52800,Derby-West Kimberley (S),8253,8202,-51,-0.6,131,-210,28,119731.0,0.1
52870,Donnybrook-Balingup (S),6061,6095,34,0.6,4,11,19,1559.9,3.9
52940,Dowerin (S),676,671,-5,-0.7,7,-12,0,1863.1,0.4
53010,Dumbleyung (S),676,665,-11,-1.6,5,-19,3,2539.2,0.3
53080,Dundas (S),735,714,-21,-2.9,1,-25,3,92885.0,0.0
53150,East Fremantle (T),7809,7837,28,0.4,16,-15,27,3.1,2497.1
53220,East Pilbara (S),10968,10928,-40,-0.4,102,-176,34,372307.5,0.0
53290,Esperance (S),14279,14225,-54,-0.4,91,-168,23,44797.5,0.3
53360,Exmouth (S),2835,2871,36,1.3,23,-3,16,6488.1,0.4
53430,Fremantle (C),30854,31084,230,0.7,116,-97,211,19.0,1635.1
53570,Gingin (S),5255,5273,18,0.3,19,-43,42,3208.4,1.6
53640,Gnowangerup (S),1207,1200,-7,-0.6,12,-23,4,4265.0,0.3
53710,Goomalling (S),1011,1002,-9,-0.9,-1,-9,1,1835.4,0.5
53780,Gosnells (C),123263,124081,818,0.7,1113,-1350,1055,127.3,974.7
53800,Greater Geraldton (C),38730,38288,-442,-1.1,170,-701,89,9909.0,3.9
53920,Halls Creek (S),3490,3454,-36,-1.0,41,-86,9,133061.0,0.0
53990,Harvey (S),27793,27975,182,0.7,186,-83,79,1727.6,16.2
54060,Irwin (S),3560,3567,7,0.2,4,0,3,2369.3,1.5
54130,Jerramungup (S),1133,1127,-6,-0.5,9,-19,4,6508.6,0.2
54170,Joondalup (C),159977,159806,-171,-0.1,878,-1901,852,98.9,1615.4
54200,Kalamunda (C),58932,58954,22,0.0,348,-540,214,324.3,181.8
54280,Kalgoorlie-Boulder (C),29989,29469,-520,-1.7,381,-1043,142,95498.1,0.3
54310,Karratha (C),22407,22716,309,1.4,374,-176,111,15237.4,1.5
54340,Katanning (S),4084,4042,-42,-1.0,35,-88,11,1518.2,2.7
54410,Kellerberrin (S),1207,1195,-12,-1.0,-5,-11,4,1915.4,0.6
54480,Kent (S),562,559,-3,-0.5,4,-9,2,5624.6,0.1
54550,Kojonup (S),1980,1939,-41,-2.1,9,-56,6,2931.0,0.7
54620,Kondinin (S),870,857,-13,-1.5,5,-20,2,7440.8,0.1
54690,Koorda (S),408,406,-2,-0.5,-3,0,1,2832.3,0.1
54760,Kulin (S),774,761,-13,-1.7,2,-17,2,4718.9,0.2
54830,Kwinana (C),43496,45092,1596,3.7,602,766,228,120.0,375.7
54900,Lake Grace (S),1281,1263,-18,-1.4,11,-33,4,11886.3,0.1
54970,Laverton (S),1206,1197,-9,-0.7,2,-14,3,179984.6,0.0
55040,Leonora (S),1529,1526,-3,-0.2,4,-10,3,31915.1,0.0
55110,Mandurah (C),85281,86474,1193,1.4,163,721,309,174.9,494.4
55180,Manjimup (S),9159,9111,-48,-0.5,0,-68,20,7029.6,1.3
55250,Meekatharra (S),1008,983,-25,-2.5,15,-42,2,100188.5,0.0
55320,Melville (C),101897,102307,410,0.4,228,-421,603,52.9,1935.8
55390,Menzies (S),521,520,-1,-0.2,-2,0,1,124110.9,0.0
55460,Merredin (S),3409,3365,-44,-1.3,19,-87,24,3293.8,1.0
55530,Mingenew (S),432,427,-5,-1.2,10,-16,1,1934.9,0.2
55600,Moora (S),2425,2374,-51,-2.1,2,-62,9,3763.0,0.6
55670,Morawa (S),698,674,-24,-3.4,5,-32,3,3510.6,0.2
55740,Mosman Park (T),9062,9111,49,0.5,1,-21,69,4.3,2095.8
55810,Mount Magnet (S),464,454,-10,-2.2,4,-15,1,13858.1,0.0
55880,Mount Marshall (S),518,519,1,0.2,3,-4,2,10184.6,0.1
55950,Mukinbudin (S),531,533,2,0.4,4,-3,1,3426.9,0.2
56090,Mundaring (S),39131,39100,-31,-0.1,153,-267,83,643.2,60.8
56160,Murchison (S),162,162,0,0.0,0,0,0,45046.1,0.0
56230,Murray (S),17650,17911,261,1.5,69,164,28,1703.5,10.5
56300,Nannup (S),1363,1386,23,1.7,-4,23,4,3053.9,0.5
56370,Narembeen (S),837,845,8,1.0,11,-9,6,3809.0,0.2
56460,Narrogin (S),5039,4984,-55,-1.1,-19,-52,16,1631.3,3.1
56580,Nedlands (C),22534,22599,65,0.3,31,-130,164,19.6,1150.4
56620,Ngaanyatjarraku (S),1747,1750,3,0.2,0,0,3,159821.7,0.0
56730,Northam (S),11188,11049,-139,-1.2,26,-187,22,1431.2,7.7
56790,Northampton (S),3077,2944,-133,-4.3,-6,-132,5,12543.7,0.2
56860,Nungarin (S),247,249,2,0.8,5,-4,1,1166.0,0.2
56930,Peppermint Grove (S),1720,1732,12,0.7,1,-3,14,1.1,1622.2
57000,Perenjori (S),596,580,-16,-2.7,0,-18,2,8301.4,0.1
57080,Perth (C),27720,28832,1112,4.0,153,325,634,13.7,2101.6
57140,Pingelly (S),1152,1147,-5,-0.4,-1,-5,1,1294.6,0.9
57210,Plantagenet (S),5249,5263,14,0.3,-4,12,6,4876.7,1.1
57280,Port Hedland (T),14971,15144,173,1.2,278,-177,72,18417.1,0.8
57350,Quairading (S),1007,999,-8,-0.8,3,-14,3,2016.9,0.5
57420,Ravensthorpe (S),1598,1558,-40,-2.5,6,-51,5,9841.8,0.2
57490,Rockingham (C),133352,135943,2591,1.9,1080,1005,506,257.5,527.9
57630,Sandstone (S),81,79,-2,-2.5,0,-3,1,32605.3,0.0
57700,Serpentine-Jarrahdale (S),30927,32562,1635,5.3,424,1126,85,901.2,36.1
57770,Shark Bay (S),946,939,-7,-0.7,5,-17,5,24201.2,0.0
57840,South Perth (C),43523,43773,250,0.6,48,-180,382,19.8,2209.5
57910,Stirling (C),220135,221040,905,0.4,1501,-2395,1799,104.7,2110.6
57980,Subiaco (C),17093,17251,158,0.9,40,19,99,5.6,3070.6
58050,Swan (C),143333,147353,4020,2.8,1557,1808,655,1043.0,141.3
58190,Tammin (S),401,398,-3,-0.7,0,-4,1,1101.7,0.4
58260,Three Springs (S),591,573,-18,-3.0,3,-23,2,2656.7,0.2
58330,Toodyay (S),4427,4458,31,0.7,-3,25,9,1691.6,2.6
58400,Trayning (S),348,352,4,1.1,3,1,0,1651.2,0.2
58470,Upper Gascoyne (S),279,285,6,2.2,3,1,2,57809.9,0.0
58510,Victoria Park (T),36568,36962,394,1.1,174,-357,577,17.9,2060.3
58540,Victoria Plains (S),934,914,-20,-2.1,2,-26,4,2551.0,0.4
58570,Vincent (C),36058,36561,503,1.4,245,-186,444,11.4,3213.6
58610,Wagin (S),1824,1786,-38,-2.1,-2,-38,2,1946.2,0.9
58680,Wandering (S),431,424,-7,-1.6,0,-8,1,1903.9,0.2
58760,Wanneroo (C),203609,208237,4628,2.3,2212,1326,1090,683.3,304.8
58820,Waroona (S),4169,4212,43,1.0,-9,49,3,832.2,5.1
58890,West Arthur (S),798,780,-18,-2.3,3,-21,0,2831.8,0.3
59030,Westonia (S),302,306,4,1.3,3,0,1,3319.4,0.1
59100,Wickepin (S),730,714,-16,-2.2,3,-21,2,2040.9,0.3
59170,Williams (S),1024,1010,-14,-1.4,6,-21,1,2304.7,0.4
59250,Wiluna (S),706,684,-22,-3.1,4,-27,1,181297.3,0.0
59310,Wongan-Ballidu (S),1299,1288,-11,-0.8,10,-22,1,3365.1,0.4
59320,Woodanilling (S),428,430,2,0.5,7,-6,1,1128.8,0.4
59330,Wyalkatchem (S),498,492,-6,-1.2,-3,-3,0,1594.5,0.3
59340,Wyndham-East Kimberley (S),7315,7338,23,0.3,107,-119,35,112066.0,0.1
59350,Yalgoo (S),357,356,-1,-0.3,4,-6,1,27949.5,0.0
59360,Yilgarn (S),1169,1163,-6,-0.5,-4,-6,4,30428.8,0.0
59370,York (S),3591,3575,-16,-0.4,-3,-14,1,2131.6,1.7
60210,Break O`Day (M),6231,6288,57,0.9,-17,63,11,3523.9,1.8
60410,Brighton (M),17289,17675,386,2.2,135,232,19,171.2,103.3
60610,Burnie (C),19344,19550,206,1.1,63,96,47,611.0,32.0
60810,Central Coast (M) (Tas.),21902,21938,36,0.2,-2,1,37,933.1,23.5
61010,Central Highlands (M) (Tas.),2144,2130,-14,-0.7,12,-26,0,7982.4,0.3
61210,Circular Head (M),8066,8078,12,0.1,52,-70,30,4898.0,1.6
61410,Clarence (C),56945,57807,862,1.5,183,440,239,378.0,152.9
61510,Derwent Valley (M),10287,10424,137,1.3,29,93,15,4108.1,2.5
61610,Devonport (C),25413,25633,220,0.9,6,126,88,111.3,230.4
61810,Dorset (M),6652,6634,-18,-0.3,-6,-28,16,3230.5,2.1
62010,Flinders (M) (Tas.),987,1010,23,2.3,-1,24,0,1996.6,0.5
62210,George Town (M),6932,6968,36,0.5,10,3,23,653.4,10.7
62410,Glamorgan-Spring Bay (M),4529,4602,73,1.6,-29,84,18,2591.6,1.8
62610,Glenorchy (C),47645,47969,324,0.7,146,-157,335,121.1,396.0
62810,Hobart (C),53766,54649,883,1.6,48,-87,922,77.9,701.4
63010,Huon Valley (M),17221,17561,340,2.0,33,235,72,5507.4,3.2
63210,Kentish (M),6324,6315,-9,-0.1,2,-35,24,1156.2,5.5
63410,King Island (M),1601,1610,9,0.6,7,-2,4,1095.7,1.5
63610,Kingborough (M),37738,38310,572,1.5,135,253,184,720.1,53.2
63810,Latrobe (M) (Tas.),11328,11638,310,2.7,6,274,30,600.5,19.4
64010,Launceston (C),67473,68007,534,0.8,121,-225,638,1413.6,48.1
64210,Meander Valley (M),19713,19844,131,0.7,67,11,53,3330.8,6.0
64610,Northern Midlands (M),13299,13437,138,1.0,25,88,25,5135.3,2.6
64810,Sorell (M),15216,15603,387,2.5,77,272,38,583.8,26.7
65010,Southern Midlands (M),6117,6290,173,2.8,10,159,4,2615.5,2.4
65210,Tasman (M),2404,2414,10,0.4,-13,20,3,660.4,3.7
65410,Waratah-Wynyard (M),13797,13828,31,0.2,6,2,23,3535.9,3.9
65610,West Coast (M),4166,4175,9,0.2,-1,-1,11,9583.5,0.4
65810,West Tamar (M),23769,24070,301,1.3,55,163,83,691.1,34.8
70200,Alice Springs (T),26502,26390,-112,-0.4,296,-506,98,327.7,80.5
70420,Barkly (R),7384,7369,-15,-0.2,91,-121,15,322713.2,0.0
70540,Belyuen (S),174,175,1,0.6,0,1,0,41.4,4.2
70620,Central Desert (R),4204,4231,27,0.6,55,-29,1,281312.0,0.0
70700,Coomalie (S),1390,1370,-20,-1.4,19,-42,3,2056.1,0.7
71000,Darwin (C),84500,82886,-1614,-1.9,805,-2848,429,111.3,744.6
71300,East Arnhem (R),10336,10344,8,0.1,83,-81,6,33309.9,0.3
72200,Katherine (T),10610,10623,13,0.1,141,-144,16,7416.6,1.4
72300,Litchfield (M),25583,25561,-22,-0.1,147,-192,23,2903.1,8.8
72330,MacDonnell (R),6857,6917,60,0.9,57,-8,11,268329.3,0.0
72800,Palmerston (C),37818,38270,452,1.2,572,-206,86,52.7,726.8
73600,Roper Gulf (R),7392,7428,36,0.5,44,-11,3,185210.2,0.0
74050,Tiwi Islands (R),2750,2741,-9,-0.3,13,-23,1,7483.2,0.4
74550,Victoria Daly (R),3135,3155,20,0.6,45,-25,0,153287.1,0.0
74560,Wagait (S),508,519,11,2.2,4,6,1,5.6,92.1
74660,West Arnhem (R),6896,6881,-15,-0.2,52,-71,4,49675.0,0.1
74680,West Daly (R),3646,3693,47,1.3,38,7,2,14069.7,0.3
79399,Unincorporated NT,7373,7376,3,0.0,62,-78,19,19790.0,0.4
