            Australian Bureau of Statistics,,,,,,,,,,,,,
"3218.0  Regional Population Growth, Australia",,,,,,,,,,,,,
Released at 11.30am (Canberra time) 25 March 2020,,,,,,,,,,,,,
"Table 1. Estimated Resident Population, Local Government Areas, New South Wales",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,ERP at 30 June,,,ERP change,,,Components of population change 2018-19,,,,,
,,2018,2019,,2018-2019,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2019
LGA code,Local Government Area,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2
,,,,,,,,,,,,,
10050,Albury (C),53705,54353,,648,1.2,,262,125,261,,305.9,177.7
10130,Armidale Regional (A),30681,30779,,98,0.3,,139,-379,338,,8620.7,3.6
10250,Ballina (A),44172,44628,,456,1.0,,-11,286,181,,484.9,92.0
10300,Balranald (A),2338,2338,,0,0.0,,11,-17,6,,21690.7,0.1
10470,Bathurst Regional (A),43163,43618,,455,1.1,,209,91,155,,3817.9,11.4
10500,Bayside (A),174218,178396,,4178,2.4,,1344,-1709,4543,,49.9,3575.8
10550,Bega Valley (A),34315,34476,,161,0.5,,-79,163,77,,6278.9,5.5
10600,Bellingen (A),12953,12996,,43,0.3,,18,-12,37,,1600.4,8.1
10650,Berrigan (A),8700,8750,,50,0.6,,-27,43,34,,2065.8,4.2
10750,Blacktown (C),366078,374451,,8373,2.3,,4380,-310,4303,,240.0,1559.9
10800,Bland (A),5979,5972,,-7,-0.1,,27,-41,7,,8557.7,0.7
10850,Blayney (A),7334,7379,,45,0.6,,32,4,9,,1524.6,4.8
10900,Blue Mountains (C),79191,79118,,-73,-0.1,,99,-549,377,,1431.1,55.3
10950,Bogan (A),2618,2580,,-38,-1.5,,15,-59,6,,14599.9,0.2
11150,Bourke (A),2626,2590,,-36,-1.4,,19,-57,2,,41599.5,0.1
11200,Brewarrina (A),1653,1611,,-42,-2.5,,6,-49,1,,19163.5,0.1
11250,Broken Hill (C),17715,17479,,-236,-1.3,,-6,-265,35,,170.1,102.7
11300,Burwood (A),39864,40612,,748,1.9,,134,-798,1412,,7.1,5697.5
11350,Byron (A),34545,35081,,536,1.6,,163,50,323,,565.8,62.0
11400,Cabonne (A),13667,13634,,-33,-0.2,,23,-77,21,,6022.3,2.3
11450,Camden (A),94029,101437,,7408,7.9,,1531,5573,304,,201.0,504.6
11500,Campbelltown (C) (NSW),167930,170943,,3013,1.8,,1799,-121,1335,,311.9,548.1
11520,Canada Bay (A),95064,96074,,1010,1.1,,670,-927,1267,,19.9,4822.2
11570,Canterbury-Bankstown (A),373486,377917,,4431,1.2,,3518,-4532,5445,,110.2,3428.2
11600,Carrathool (A),2799,2799,,0,0.0,,29,-42,13,,18934.5,0.1
11650,Central Coast (C) (NSW),341693,343968,,2275,0.7,,593,357,1325,,1681.1,204.6
11700,Central Darling (A),1835,1839,,4,0.2,,17,-24,11,,53492.2,0.0
11720,Cessnock (C),59029,59985,,956,1.6,,294,581,81,,1965.2,30.5
11730,Clarence Valley (A),51598,51662,,64,0.1,,-50,9,105,,10428.7,5.0
11750,Cobar (A),4715,4658,,-57,-1.2,,42,-116,17,,45579.3,0.1
11800,Coffs Harbour (C),76480,77277,,797,1.0,,138,176,483,,1173.7,65.8
12000,Coolamon (A),4363,4341,,-22,-0.5,,13,-40,5,,2430.9,1.8
12150,Coonamble (A),4008,3958,,-50,-1.2,,36,-88,2,,9916.1,0.4
12160,Cootamundra-Gundagai Regional (A),11250,11235,,-15,-0.1,,-25,-5,15,,3981.4,2.8
12350,Cowra (A),12753,12743,,-10,-0.1,,-35,8,17,,2808.8,4.5
12380,Cumberland (A),236599,241521,,4922,2.1,,2871,-3329,5380,,71.6,3375.5
12390,Dubbo Regional (A),53167,53719,,552,1.0,,393,-63,222,,7534.5,7.1
12700,Dungog (A),9336,9423,,87,0.9,,9,72,6,,2250.0,4.2
12730,Edward River (A),8984,9084,,100,1.1,,26,45,29,,8883.4,1.0
12750,Eurobodalla (A),38253,38473,,220,0.6,,-208,337,91,,3428.2,11.2
12850,Fairfield (C),210417,211695,,1278,0.6,,1237,-2772,2813,,101.5,2085.5
12870,Federation (A),12450,12437,,-13,-0.1,,-36,-2,25,,5685.0,2.2
12900,Forbes (A),9898,9906,,8,0.1,,13,-19,14,,4710.1,2.1
12930,Georges River (A),158283,159471,,1188,0.8,,862,-3366,3692,,38.3,4158.7
12950,Gilgandra (A),4221,4239,,18,0.4,,19,-17,16,,4831.5,0.9
13010,Glen Innes Severn (A),8900,8871,,-29,-0.3,,-48,7,12,,5480.0,1.6
13310,Goulburn Mulwaree (A),30823,31132,,309,1.0,,103,75,131,,3220.1,9.7
13340,Greater Hume Shire (A),10675,10764,,89,0.8,,1,69,19,,5749.5,1.9
13450,Griffith (C),26849,27029,,180,0.7,,174,-286,292,,1639.2,16.5
13550,Gunnedah (A),12643,12681,,38,0.3,,107,-100,31,,4987.0,2.5
13660,Gwydir (A),5344,5353,,9,0.2,,10,-4,3,,9259.7,0.6
13800,Hawkesbury (C),67007,67296,,289,0.4,,472,-344,161,,2775.1,24.2
13850,Hay (A),2975,2949,,-26,-0.9,,7,-48,15,,11325.9,0.3
13910,Hilltops (A),18759,18704,,-55,-0.3,,32,-127,40,,7140.9,2.6
14000,Hornsby (A),150632,152059,,1427,0.9,,391,-639,1675,,455.0,334.2
14100,Hunters Hill (A),14898,14980,,82,0.6,,-72,76,78,,5.7,2620.3
14170,Inner West (A),197836,200811,,2975,1.5,,1360,-1678,3293,,35.4,5677.2
14200,Inverell (A),16825,16890,,65,0.4,,101,-79,43,,8597.2,2.0
14300,Junee (A),6625,6683,,58,0.9,,16,-2,44,,2030.0,3.3
14350,Kempsey (A),29633,29745,,112,0.4,,-3,38,77,,3375.7,8.8
14400,Kiama (A),22987,23386,,399,1.7,,21,280,98,,257.7,90.8
14500,Ku-ring-gai (A),125965,127153,,1188,0.9,,218,-241,1211,,85.4,1488.7
14550,Kyogle (A),8862,8796,,-66,-0.7,,-4,-76,14,,3584.2,2.5
14600,Lachlan (A),6143,6075,,-68,-1.1,,41,-112,3,,14964.3,0.4
14650,Lake Macquarie (C),204694,205901,,1207,0.6,,404,240,563,,648.6,317.4
14700,Lane Cove (A),39442,40155,,713,1.8,,359,-71,425,,10.5,3831.8
14750,Leeton (A),11425,11445,,20,0.2,,67,-82,35,,1167.2,9.8
14850,Lismore (C),43803,43692,,-111,-0.3,,66,-312,135,,1287.7,33.9
14870,Lithgow (C),21616,21605,,-11,-0.1,,-8,-45,42,,4512.3,4.8
14900,Liverpool (C),223025,227585,,4560,2.0,,2478,96,1986,,305.7,744.4
14920,Liverpool Plains (A),7886,7903,,17,0.2,,-1,11,7,,5082.2,1.6
14950,Lockhart (A),3290,3285,,-5,-0.2,,2,-10,3,,2895.8,1.1
15050,Maitland (C),83104,85166,,2062,2.5,,629,1222,211,,391.5,217.5
15240,Mid-Coast (A),93209,93836,,627,0.7,,-435,870,192,,10053.9,9.3
15270,Mid-Western Regional (A),25057,25251,,194,0.8,,91,45,58,,8752.3,2.9
15300,Moree Plains (A),13331,13261,,-70,-0.5,,132,-229,27,,17906.5,0.7
15350,Mosman (A),30852,30981,,129,0.4,,126,-341,344,,8.7,3581.5
15520,Murray River (A),12105,12118,,13,0.1,,-20,-6,39,,11863.5,1.0
15560,Murrumbidgee (A),3956,3917,,-39,-1.0,,2,-59,18,,6880.8,0.6
15650,Muswellbrook (A),16364,16377,,13,0.1,,136,-183,60,,3404.9,4.8
15700,Nambucca (A),19752,19805,,53,0.3,,-49,68,34,,1491.3,13.3
15750,Narrabri (A),13216,13135,,-81,-0.6,,43,-147,23,,13015.0,1.0
15800,Narrandera (A),5924,5899,,-25,-0.4,,17,-66,24,,4116.3,1.4
15850,Narromine (A),6559,6517,,-42,-0.6,,34,-87,11,,5261.5,1.2
15900,Newcastle (C),163943,165571,,1628,1.0,,492,-638,1774,,186.8,886.6
15950,North Sydney (A),74087,75021,,934,1.3,,777,-870,1027,,10.5,7154.6
15990,Northern Beaches (A),271027,273499,,2472,0.9,,1199,-1457,2730,,254.2,1075.9
16100,Oberon (A),5403,5411,,8,0.1,,6,-10,12,,3625.0,1.5
16150,Orange (C),42000,42451,,451,1.1,,314,-39,176,,284.2,149.4
16200,Parkes (A),14877,14837,,-40,-0.3,,67,-138,31,,5957.6,2.5
16260,Parramatta (C),251065,257197,,6132,2.4,,2483,-3071,6720,,83.8,3068.1
16350,Penrith (C),208947,212977,,4030,1.9,,2187,820,1023,,404.7,526.3
16380,Port Macquarie-Hastings (A),83062,84525,,1463,1.8,,-205,1418,250,,3682.4,23.0
16400,Port Stephens (A),72630,73481,,851,1.2,,141,494,216,,858.4,85.6
16490,Queanbeyan-Palerang Regional (A),59889,61100,,1211,2.0,,590,228,393,,5318.9,11.5
16550,Randwick (C),154145,155649,,1504,1.0,,847,-3481,4138,,36.3,4284.2
16610,Richmond Valley (A),23374,23465,,91,0.4,,40,2,49,,3047.4,7.7
16700,Ryde (C),127340,131271,,3931,3.1,,913,283,2735,,40.5,3243.3
16900,Shellharbour (C),72160,73233,,1073,1.5,,361,493,219,,147.4,496.8
16950,Shoalhaven (C),104268,105648,,1380,1.3,,-36,1071,345,,4566.7,23.1
17000,Singleton (A),23397,23461,,64,0.3,,195,-194,63,,4892.7,4.8
17040,Snowy Monaro Regional (A),20714,20795,,81,0.4,,43,-76,114,,15163.5,1.4
17080,Snowy Valleys (A),14516,14479,,-37,-0.3,,19,-99,43,,8959.0,1.6
17100,Strathfield (A),45110,46926,,1816,4.0,,323,-28,1521,,14.0,3351.6
17150,Sutherland Shire (A),228980,230611,,1631,0.7,,1186,-814,1259,,333.6,691.3
17200,Sydney (C),240102,246343,,6241,2.6,,1594,-1824,6471,,26.7,9211.5
17310,Tamworth Regional (A),62086,62541,,455,0.7,,296,-174,333,,9884.4,6.3
17350,Temora (A),6267,6307,,40,0.6,,5,27,8,,2802.0,2.3
17400,Tenterfield (A),6631,6594,,-37,-0.6,,-16,-29,8,,7322.8,0.9
17420,The Hills Shire (A),172339,177969,,5630,3.3,,1020,3048,1562,,386.2,460.9
17550,Tweed (A),96018,97001,,983,1.0,,-112,686,409,,1307.7,74.2
17620,Upper Hunter Shire (A),14208,14180,,-28,-0.2,,65,-138,45,,8096.1,1.8
17640,Upper Lachlan Shire (A),7954,8059,,105,1.3,,10,82,13,,7127.4,1.1
17650,Uralla (A),6057,6012,,-45,-0.7,,3,-59,11,,3226.5,1.9
17750,Wagga Wagga (C),64743,65258,,515,0.8,,485,-302,332,,4824.5,13.5
17850,Walcha (A),3129,3134,,5,0.2,,12,-13,6,,6261.0,0.5
17900,Walgett (A),6044,5953,,-91,-1.5,,21,-120,8,,22308.4,0.3
17950,Warren (A),2740,2697,,-43,-1.6,,11,-60,6,,10753.8,0.3
18020,Warrumbungle Shire (A),9389,9278,,-111,-1.2,,-8,-121,18,,12372.1,0.7
18050,Waverley (A),74040,74295,,255,0.3,,665,-1637,1227,,9.4,7945.4
18100,Weddin (A),3632,3613,,-19,-0.5,,-5,-22,8,,3414.9,1.1
18200,Wentworth (A),7033,7053,,20,0.3,,30,-16,6,,26256.2,0.3
18250,Willoughby (C),80274,81189,,915,1.1,,391,-822,1346,,22.4,3620.3
18350,Wingecarribee (A),50452,51134,,682,1.4,,-16,451,247,,2689.3,19.0
18400,Wollondilly (A),52171,53149,,978,1.9,,453,416,109,,2555.4,20.8
18450,Wollongong (C),215856,218114,,2258,1.0,,804,-638,2092,,684.0,318.9
18500,Woollahra (A),58908,59387,,479,0.8,,300,-502,681,,12.3,4837.1
18710,Yass Valley (A),16936,17087,,151,0.9,,86,16,49,,3995.3,4.3
,,,,,,,,,,,,,
19399,Unincorporated NSW,1079,1026,,-53,-4.9,,7,-64,4,,93214.2,0.0
,,,,,,,,,,,,,
,TOTAL NEW SOUTH WALES,7980168,8089817,,109649,1.4,,45557,-22063,86155,,800810.8,10.1
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Source: Regional Population Growth, Australia, 2018-19 (cat. no. 3218.0)",,,,,,,,,,,,,
,,,,,,,,,,,,,
© Commonwealth of Australia 2020,,,,,,,,,,,,,
